,label_,seller
0,49,Aiven
1,41,Arista Networks Inc.
2,33,Arrikto Inc.
3,47,Aviatrix
4,1,Bitnami
5,5,BlueCat Networks
6,38,Center for Internet Security
7,15,Check Point Software Technologies
8,18,Cisco Systems
9,8,"Citrix Systems, Inc."
10,7,Cloud Infrastructure Services
11,4,Cognosys Inc.
12,17,AlmaLinux
13,59,Dataiku
14,16,Dell EMC
15,56,Elasticsearch
16,25,Ergon Informatik AG
17,19,F5 Networks
18,24,fastly-public-46a6
19,30,Filemage LLC
20,0,Flowmon Networks
21,3,Fortinet Inc.
22,29,Grafana Labs
23,57,H2O.ai
24,35,IBM Security
25,22,JFrog
26,43,"Kaminario, inc."
27,54,Litmus Automation Inc
28,37,Maidenhead Bridge Limited
29,44,matillion-etl-for-bq-public
30,39,"NGINX, Inc"
31,31,"Neo4j, Inc."
32,9,netapp-cloudmanager
33,40,"Odysseus Data Services, Inc"
34,26,OpenVPN Inc.
35,34,"Palo Alto Networks, Inc."
36,27,Qualys
37,11,qumulo-public
38,14,"RStudio, Inc."
39,32,Reblaze
40,42,Redis Labs
41,20,StreamSets Inc
42,6,Techlatest.net
43,21,VMware Inc.
44,12,Veeam Software
45,36,Velostrata
